LS	09/11/2022 15:12																	
File name:	IODP_STV0166-16_02.$ls																	
File ID:	IODP																	
Sample ID:	STV0166-167																	
Operator:	RG																	
Bar code:																		
Comment 1:																		
Comment 2:																		
Instrument:	"LS 230, VSM Plus"																	
Run number:	2																	
Start time:	09/11/2022 15:11																	
Run length:	62																	
Optical model:	Fraunhofer.rfd   PIDS included																	
Obscuration:	11																	
PIDS Obscur:	37																	
Obscuration:	OK																	
Serial Number:	7205																	
																		
5.11	5.354	5.61	0.52	6.9	93.1	0.0021	0.46	6.19	93.8	0.0016	0.47	6.21	93.8	0.0015	0.49	6.56	93.4	0.0017
5.61	5.878	6.158	0.55	7.42	92.6	0.0017	0.49	6.65	93.4	0.0013	0.5	6.68	93.3	0.0012	0.53	7.05	92.9	0.0014
6.158	6.452	6.76	0.59	7.97	92	0.0014	0.53	7.14	92.9	0.0011	0.54	7.18	92.8	0.001	0.57	7.58	92.4	0.0011
6.76	7.083	7.421	0.63	8.55	91.4	0.0011	0.57	7.67	92.3	0.00088	0.58	7.72	92.3	0.00082	0.61	8.14	91.9	0.0009
7.421	7.775	8.147	0.67	9.18	90.8	0.0009	0.62	8.24	91.8	0.00072	0.63	8.3	91.7	0.00067	0.65	8.75	91.2	0.00074
8.147	8.536	8.943	0.71	9.85	90.2	0.00073	0.67	8.86	91.1	0.00059	0.69	8.93	91.1	0.00055	0.71	9.4	90.6	0.0006
8.943	9.37	9.817	0.77	10.6	89.4	0.00059	0.73	9.53	90.5	0.00048	0.75	9.62	90.4	0.00046	0.77	10.1	89.9	0.00049
9.817	10.29	10.78	0.83	11.3	88.7	0.00048	0.8	10.3	89.7	0.0004	0.82	10.4	89.6	0.00038	0.83	10.9	89.1	0.00041
10.78	11.29	11.83	0.9	12.2	87.8	0.0004	0.88	11.1	88.9	0.00033	0.91	11.2	88.8	0.00032	0.92	11.7	88.3	0.00034
11.83	12.4	12.99	0.98	13.1	86.9	0.00033	0.97	11.9	88.1	0.00028	1.01	12.1	87.9	0.00027	1.01	12.6	87.4	0.00028
12.99	13.61	14.26	1.08	14	86	0.00027	1.09	12.9	87.1	0.00024	1.13	13.1	86.9	0.00022	1.12	13.6	86.4	0.00024
14.26	14.94	15.65	1.19	15.1	84.9	0.00023	1.22	14	86	0.0002	1.27	14.2	85.8	0.00019	1.26	14.8	85.2	0.0002
15.65	16.4	17.18	1.32	16.3	83.7	0.00019	1.37	15.2	84.8	0.00017	1.44	15.5	84.5	0.00016	1.41	16	84	0.00017
17.18	18	18.86	1.48	17.6	82.4	0.00016	1.55	16.6	83.4	0.00015	1.63	16.9	83.1	0.00014	1.59	17.4	82.6	0.00014
18.86	19.76	20.7	1.65	19.1	80.9	0.00014	1.75	18.1	81.9	0.00012	1.84	18.6	81.4	0.00012	1.79	19	81	0.00012
20.7	21.69	22.73	1.85	20.8	79.2	0.00012	1.96	19.9	80.1	0.00011	2.07	20.4	79.6	0.0001	2	20.8	79.2	0.0001
22.73	23.81	24.95	2.06	22.6	77.4	0.000097	2.19	21.8	78.2	0.000089	2.3	22.5	77.5	0.000085	2.22	22.8	77.2	0.000087
24.95	26.14	27.39	2.29	24.7	75.3	0.000082	2.41	24	76	0.000074	2.53	24.8	75.2	0.000071	2.44	25	75	0.000072
27.39	28.7	30.07	2.54	27	73	0.000068	2.61	26.4	73.6	0.000061	2.75	27.3	72.7	0.000058	2.64	27.5	72.5	0.000059
30.07	31.5	33.01	2.81	29.5	70.5	0.000057	2.8	29	71	0.000049	2.95	30.1	69.9	0.000047	2.82	30.1	69.9	0.000048
33.01	34.58	36.24	3.11	32.3	67.7	0.000048	2.97	31.9	68.1	0.000039	3.12	33	67	0.000038	2.99	32.9	67.1	0.000038
36.24	37.97	39.78	3.44	35.4	64.6	0.00004	3.11	34.8	65.2	0.000031	3.25	36.1	63.9	0.00003	3.12	35.9	64.1	0.00003
39.78	41.68	43.67	3.79	38.9	61.1	0.000033	3.22	37.9	62.1	0.000024	3.36	39.4	60.6	0.000023	3.21	39	61	0.000024
43.67	45.75	47.94	4.16	42.6	57.4	0.000028	3.29	41.2	58.8	0.000019	3.42	42.7	57.3	0.000018	3.27	42.2	57.8	0.000018
47.94	50.22	52.62	4.52	46.8	53.2	0.000023	3.31	44.4	55.6	0.000014	3.43	46.2	53.8	0.000014	3.28	45.5	54.5	0.000014
52.62	55.13	57.77	4.82	51.3	48.7	0.000018	3.29	47.8	52.2	0.000011	3.4	49.6	50.4	0.00001	3.23	48.8	51.2	0.00001
57.77	60.52	63.41	5.02	56.1	43.9	0.000014	3.23	51	49	0.000008	3.32	53	47	0.000007	3.14	52	48	0.000008
63.41	66.44	69.61	5.1	61.2	38.8	0.000011	3.13	54.3	45.7	0.000006	3.2	56.3	43.7	0.000005	3.02	55.2	44.8	0.000005
69.61	72.94	76.42	5.01	66.3	33.7	0.000008	3	57.4	42.6	0.000004	3.06	59.5	40.5	0.000004	2.89	58.2	41.8	0.000004
76.42	80.07	83.89	4.76	71.3	28.7	0.000006	2.87	60.4	39.6	0.000003	2.91	62.6	37.4	0.000003	2.75	61.1	38.9	0.000003
83.89	87.9	92.09	4.34	76	24	0.000004	2.74	63.3	36.7	0.000002	2.73	65.5	34.5	0.000002	2.62	63.8	36.2	0.000002
92.09	96.49	101.1	3.79	80.4	19.6	0.000003	2.62	66	34	0.000002	2.55	68.2	31.8	0.000001	2.51	66.5	33.5	0.000001
101.1	105.9	111	3.15	84.2	15.8	0.000002	2.52	68.6	31.4	0.000001	2.36	70.8	29.2	0.000001	2.41	69	31	0.000001
111	116.3	121.8	2.49	87.3	12.7	0.000001	2.46	71.1	28.9	0.000001	2.21	73.1	26.9	0.000001	2.36	71.4	28.6	0.000001
121.8	127.6	133.7	1.86	89.8	10.2	0.000001	2.46	73.6	26.4	0.000001	2.13	75.3	24.7	0.000001	2.36	73.7	26.3	0.000001
133.7	140.1	146.8	1.35	91.7	8.34	3.11E-07	2.52	76.1	23.9	0.000001	2.14	77.5	22.5	3.91E-07	2.43	76.1	23.9	4.68E-07
146.8	153.8	161.2	0.96	93	7	1.69E-07	2.63	78.6	21.4	3.96E-07	2.25	79.6	20.4	3.10E-07	2.55	78.5	21.5	3.72E-07
161.2	168.9	176.9	0.72	94	6.03	9.56E-08	2.74	81.2	18.8	3.11E-07	2.4	81.9	18.1	2.50E-07	2.69	81.1	18.9	2.96E-07
176.9	185.4	194.2	0.59	94.7	5.31	5.93E-08	2.77	83.9	16.1	2.38E-07	2.51	84.3	15.7	1.97E-07	2.76	83.8	16.2	2.29E-07
194.2	203.5	213.2	0.53	95.3	4.71	4.01E-08	2.66	86.7	13.3	1.73E-07	2.48	86.8	13.2	1.47E-07	2.68	86.5	13.5	1.68E-07
213.2	223.4	234.1	0.49	95.8	4.18	2.79E-08	2.37	89.4	10.6	1.16E-07	2.26	89.2	10.8	1.02E-07	2.41	89.2	10.8	1.14E-07
234.1	245.2	256.9	0.43	96.3	3.69	1.86E-08	1.91	91.7	8.26	7.08E-08	1.86	91.5	8.51	6.34E-08	1.96	91.6	8.39	7.03E-08
256.9	269.2	282.1	0.35	96.7	3.26	1.13E-08	1.37	93.6	6.35	3.83E-08	1.36	93.4	6.64	3.50E-08	1.42	93.6	6.43	3.86E-08
282.1	295.5	309.6	0.26	97.1	2.92	6.34E-09	0.86	95	4.99	1.83E-08	0.89	94.7	5.28	1.72E-08	0.92	95	5.01	1.89E-08
309.6	324.4	339.9	0.2	97.3	2.66	3.68E-09	0.51	95.9	4.13	8.15E-09	0.54	95.6	4.39	7.99E-09	0.57	95.9	4.09	8.78E-09
339.9	356.1	373.1	0.18	97.5	2.46	2.60E-09	0.33	96.4	3.62	4.02E-09	0.38	96.2	3.85	4.20E-09	0.38	96.5	3.52	4.49E-09
373.1	390.9	409.6	0.22	97.7	2.28	2.34E-09	0.3	96.7	3.29	2.73E-09	0.37	96.5	3.47	3.14E-09	0.34	96.9	3.14	3.02E-09
409.6	429.2	449.7	0.29	97.9	2.06	2.32E-09	0.36	97	2.99	2.49E-09	0.49	96.9	3.1	3.09E-09	0.39	97.2	2.8	2.60E-09
449.7	471.1	493.6	0.36	98.2	1.77	2.17E-09	0.46	97.4	2.63	2.41E-09	0.67	97.4	2.61	3.21E-09	0.47	97.6	2.41	2.37E-09
493.6	517.2	541.9	0.39	98.6	1.41	1.78E-09	0.54	97.8	2.17	2.12E-09	0.8	98.1	1.94	2.88E-09	0.52	98.1	1.94	2.00E-09
541.9	567.7	594.9	0.37	99	1.03	1.29E-09	0.55	98.4	1.63	1.65E-09	0.67	98.9	1.14	1.83E-09	0.51	98.6	1.42	1.48E-09
594.9	623.3	653	0.32	99.3	0.65	8.32E-10	0.5	98.9	1.08	1.14E-09	0.37	99.5	0.47	7.68E-10	0.44	99.1	0.91	9.65E-10
653	684.2	716.8	0.21	99.7	0.34	4.20E-10	0.35	99.4	0.58	6.07E-10	0.092	99.9	0.1	1.44E-10	0.29	99.5	0.47	4.85E-10
716.8	751.1	786.9	0.1	99.9	0.13	1.52E-10	0.18	99.8	0.22	2.29E-10	0.01	99.99	0.01	1.19E-11	0.14	99.8	0.17	1.72E-10
786.9	824.5	863.9	0.023	99.97	0.025	2.60E-11	0.041	99.95	0.045	4.01E-11	0	100	0	0	0.031	99.97	0.034	2.91E-11
863.9	905.1	948.3	0.0023	99.998	0.0023	1.97E-12	0.0042	99.996	0.0042	3.10E-12	0	100	0	0	0.003	99.997	0.003	2.15E-12
948.3	993.6	1041	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0
1041	1091	1143	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0
1143	1197	1255	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0
1255	1314	1377	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0
1377	1443	1512	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0
1512	1584	1660	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0
1660	1739	1822	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0
1822	1909	2000	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0
2000				100	0			100	0			100	0			100	0	
