LS	09/11/2022 16:07													
File name:	IODP_STV0226-23_06.$ls													
File ID:	IODP													
Sample ID:	STV0226-230													
Operator:	RG													
Bar code:														
Comment 1:														
Comment 2:														
Instrument:	"LS 230, VSM Plus"													
Run number:	6													
Start time:	09/11/2022 16:06													
Run length:	61													
Optical model:	Fraunhofer.rfd   PIDS included													
14.26	14.94	15.65	2	24	76	0.00024	1.89	22.4	77.6	0.00022	1.85	21.8	78.2	0.00021
15.65	16.4	17.18	2.18	26	74	0.0002	2.07	24.2	75.8	0.00019	2.03	23.6	76.4	0.00018
17.18	18	18.86	2.38	28.2	71.8	0.00017	2.26	26.3	73.7	0.00015	2.23	25.7	74.3	0.00015
18.86	19.76	20.7	2.58	30.5	69.5	0.00014	2.46	28.6	71.4	0.00013	2.43	27.9	72.1	0.00012
20.7	21.69	22.73	2.78	33.1	66.9	0.00011	2.67	31	69	0.0001	2.65	30.3	69.7	0.0001
22.73	23.81	24.95	2.97	35.9	64.1	0.00009	2.87	33.7	66.3	0.000084	2.86	33	67	0.000082
24.95	26.14	27.39	3.14	38.9	61.1	0.000072	3.06	36.6	63.4	0.000068	3.05	35.8	64.2	0.000066
27.39	28.7	30.07	3.28	42	58	0.000057	3.22	39.6	60.4	0.000054	3.23	38.9	61.1	0.000053
30.07	31.5	33.01	3.4	45.3	54.7	0.000045	3.37	42.9	57.1	0.000043	3.4	42.1	57.9	0.000042
33.01	34.58	36.24	3.51	48.7	51.3	0.000035	3.5	46.2	53.8	0.000033	3.55	45.5	54.5	0.000033
36.24	37.97	39.78	3.61	52.2	47.8	0.000027	3.62	49.7	50.3	0.000026	3.69	49.1	50.9	0.000026
39.78	41.68	43.67	3.71	55.8	44.2	0.000021	3.74	53.3	46.7	0.00002	3.83	52.8	47.2	0.00002
43.67	45.75	47.94	3.8	59.5	40.5	0.000016	3.84	57.1	42.9	0.000016	3.95	56.6	43.4	0.000016
47.94	50.22	52.62	3.86	63.3	36.7	0.000012	3.91	60.9	39.1	0.000012	4.03	60.5	39.5	0.000012
52.62	55.13	57.77	3.86	67.2	32.8	0.000009	3.93	64.8	35.2	0.000009	4.06	64.6	35.4	0.000009
57.77	60.52	63.41	3.79	71	29	0.000007	3.86	68.8	31.2	0.000007	4	68.6	31.4	0.000007
63.41	66.44	69.61	3.64	74.8	25.2	0.000005	3.71	72.6	27.4	0.000005	3.84	72.6	27.4	0.000005
69.61	72.94	76.42	3.42	78.5	21.5	0.000004	3.47	76.3	23.7	0.000004	3.58	76.5	23.5	0.000004
76.42	80.07	83.89	3.12	81.9	18.1	0.000002	3.15	79.8	20.2	0.000002	3.24	80	20	0.000002
83.89	87.9	92.09	2.75	85	15	0.000002	2.78	83	17	0.000002	2.85	83.3	16.7	0.000002
92.09	96.49	101.1	2.32	87.8	12.2	0.000001	2.37	85.7	14.3	0.000001	2.43	86.1	13.9	0.000001
101.1	105.9	111	1.87	90.1	9.91	0.000001	1.96	88.1	11.9	0.000001	2.02	88.6	11.4	0.000001
111	116.3	121.8	1.42	92	8.04	3.68E-07	1.56	90.1	9.93	3.93E-07	1.63	90.6	9.42	4.00E-07
121.8	127.6	133.7	1.04	93.4	6.63	2.04E-07	1.22	91.6	8.37	2.32E-07	1.29	92.2	7.79	2.39E-07
133.7	140.1	146.8	0.78	94.4	5.59	1.16E-07	0.94	92.8	7.15	1.36E-07	1.01	93.5	6.5	1.42E-07
146.8	153.8	161.2	0.67	95.2	4.81	7.51E-08	0.75	93.8	6.21	8.15E-08	0.8	94.5	5.48	8.44E-08
161.2	168.9	176.9	0.68	95.9	4.14	5.77E-08	0.62	94.5	5.46	5.13E-08	0.64	95.3	4.69	5.16E-08
176.9	185.4	194.2	0.75	96.5	3.46	4.84E-08	0.55	95.2	4.84	3.41E-08	0.54	96	4.04	3.29E-08
194.2	203.5	213.2	0.81	97.3	2.71	3.92E-08	0.5	95.7	4.29	2.34E-08	0.48	96.5	3.5	2.18E-08
213.2	223.4	234.1	0.76	98.1	1.9	2.81E-08	0.45	96.2	3.79	1.58E-08	0.42	97	3.03	1.46E-08
234.1	245.2	256.9	0.6	98.9	1.13	1.67E-08	0.38	96.7	3.34	1.02E-08	0.36	97.4	2.6	9.51E-09
256.9	269.2	282.1	0.36	99.5	0.53	7.45E-09	0.31	97	2.96	6.24E-09	0.28	97.8	2.24	5.63E-09
282.1	295.5	309.6	0.14	99.8	0.18	2.28E-09	0.24	97.3	2.66	3.75E-09	0.2	98	1.95	3.00E-09
309.6	324.4	339.9	0.03	99.97	0.032	3.56E-10	0.21	97.6	2.41	2.43E-09	0.14	98.2	1.75	1.55E-09
339.9	356.1	373.1	0.0027	99.997	0.0027	2.41E-11	0.21	97.8	2.2	1.86E-09	0.11	98.4	1.62	9.66E-10
373.1	390.9	409.6	0.000004	100	0.000004	2.78E-14	0.25	98	1.99	1.63E-09	0.14	98.5	1.5	8.85E-10
409.6	429.2	449.7	0	100	0	0	0.3	98.3	1.74	1.48E-09	0.21	98.6	1.37	1.00E-09
449.7	471.1	493.6	0	100	0	0	0.33	98.6	1.45	1.26E-09	0.3	98.8	1.16	1.10E-09
493.6	517.2	541.9	0	100	0	0	0.33	98.9	1.11	9.53E-10	0.36	99.1	0.86	9.98E-10
541.9	567.7	594.9	0	100	0	0	0.3	99.2	0.78	6.42E-10	0.3	99.5	0.5	6.27E-10
594.9	623.3	653	0	100	0	0	0.24	99.5	0.48	3.92E-10	0.16	99.8	0.2	2.57E-10
653	684.2	716.8	0	100	0	0	0.15	99.8	0.24	1.90E-10	0.039	99.96	0.043	4.73E-11
716.8	751.1	786.9	0	100	0	0	0.072	99.9	0.09	6.75E-11	0.0042	99.996	0.0042	3.79E-12
786.9	824.5	863.9	0	100	0	0	0.016	99.98	0.018	1.14E-11	0	100	0	0
863.9	905.1	948.3	0	100	0	0	0.0016	99.998	0.0016	8.73E-13	0	100	0	0
948.3	993.6	1041	0	100	0	0	0	100	0	0	0	100	0	0
1041	1091	1143	0	100	0	0	0	100	0	0	0	100	0	0
1143	1197	1255	0	100	0	0	0	100	0	0	0	100	0	0
1255	1314	1377	0	100	0	0	0	100	0	0	0	100	0	0
1377	1443	1512	0	100	0	0	0	100	0	0	0	100	0	0
1512	1584	1660	0	100	0	0	0	100	0	0	0	100	0	0
1660	1739	1822	0	100	0	0	0	100	0	0	0	100	0	0
1822	1909	2000	0	100	0	0	0	100	0	0	0	100	0	0
2000				100	0			100	0			100	0	
